0x001a0033	DSOUND__IDirectSoundBuffer_SetI3DL2Source
0x001a016e	DSOUND__CDirectSound_SetAllParameters
0x001a0254	DSOUND__CDirectSound_SetDistanceFactor
0x001a02b6	DSOUND__CDirectSound_SetDopplerFactor
0x001a0318	DSOUND__CDirectSound_SetRolloffFactor
0x001a037a	DSOUND__CDirectSound_SetOrientation
0x001a040a	DSOUND__CDirectSound_SetPosition
0x001a0480	DSOUND__CDirectSound_SetVelocity
0x001a04f6	DSOUND__CDirectSound_SetI3DL2Listener
0x001a06e4	DSOUND__CDirectSoundBufferSettings_SetBufferData
0x001a0770	DSOUND__CDirectSoundBuffer_SetBufferData
0x001a081e	DSOUND__IDirectSound_SetAllParameters
0x001a083e	DSOUND__IDirectSound_SetDistanceFactor
0x001a0862	DSOUND__IDirectSound_SetDopplerFactor
0x001a0886	DSOUND__IDirectSound_SetOrientation
0x001a08d0	DSOUND__IDirectSound_SetPosition
0x001a0905	DSOUND__IDirectSound_SetRolloffFactor
0x001a0929	DSOUND__IDirectSound_SetVelocity
0x001a095e	DSOUND__IDirectSound_SetI3DL2Listener
0x001a097e	DSOUND__IDirectSoundBuffer_SetBufferData
0x001a0b2b	DSOUND__CDirectSound_CreateSoundBuffer
0x001a0be2	DSOUND__IDirectSound_CreateSoundBuffer
0x001a0d9c	DSOUND__DirectSoundCreate
0x001a0de3	DSOUND__DSound_CMemoryManager_PoolAlloc
0x001a21ed	DSOUND__CMcpxAPU_ServiceDeferredCommandsLow
0x001a22bc	DSOUND__CMcpxAPU_SetMixBinHeadroom_4
0x001a332d	DSOUND__CMcpxVoiceClient_SetFilter
0x001a3804	DSOUND__CMcpxVoiceClient_SetMixBins
0x001a38c5	DSOUND__CMcpxVoiceClient_SetVolume
0x001a395d	DSOUND__CMcpxVoiceClient_SetPitch
0x001a3b26	DSOUND__CMcpxVoiceClient_SetLFO
0x001a3be0	DSOUND__CMcpxVoiceClient_SetEG
0x001a3d27	DSOUND__CMcpxVoiceClient_Commit3dSettings_0
0x001a4391	DSOUND__CMcpxBuffer_GetStatus
0x001a43da	DSOUND__CMcpxBuffer_GetCurrentPosition
0x001a46f0	DSOUND__CMcpxBuffer_Stop
0x001a490d	DSOUND__CMcpxBuffer_Play
0x001a49a7	DSOUND__CMcpxBuffer_SetCurrentPosition
0x001a4b11	DSOUND__CMcpxBuffer_SetBufferData
